Database,Publisher,User_Activity,2013,2014,2015,2016,2017
Teacher Reference Center,EBSCO,Regular Searches,1434,1977,2685,2189,401
Teacher Reference Center,EBSCO,Result Clicks,0,5,9,5,4
Teacher Reference Center,EBSCO,Searches-federated and automated,39,83,5274,6702,1237
The Criterion Collection,Alexander Street Press,Record Views,0,3,0,0,NA
The Criterion Collection,Alexander Street Press,Regular Searches,0,6,0,0,NA
The Criterion Collection,Alexander Street Press,Result Clicks,0,1,0,0,NA
The Criterion Collection,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
The PBS Video Collection,Alexander Street Press,Record Views,0,108,47,52,NA
The PBS Video Collection,Alexander Street Press,Regular Searches,0,300,164,142,NA
The PBS Video Collection,Alexander Street Press,Result Clicks,0,66,21,10,NA
The PBS Video Collection,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
University Press Scholarship Online,EBSCO,Record Views,NA,0,0,NA,NA
University Press Scholarship Online,EBSCO,Regular Searches,NA,0,0,NA,NA
University Press Scholarship Online,EBSCO,Result Clicks,NA,0,0,NA,NA
University Press Scholarship Online,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
USPTO Patent Applications,EBSCO,Record Views,NA,0,0,NA,NA
USPTO Patent Applications,EBSCO,Regular Searches,NA,0,0,NA,NA
USPTO Patent Applications,EBSCO,Result Clicks,NA,0,0,NA,NA
USPTO Patent Applications,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
USPTO Patent Grants,EBSCO,Record Views,NA,0,0,NA,NA
USPTO Patent Grants,EBSCO,Regular Searches,NA,0,0,NA,NA
USPTO Patent Grants,EBSCO,Result Clicks,NA,0,0,NA,NA
USPTO Patent Grants,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
World Book,EBSCO,Record Views,NA,0,0,NA,NA
World Book,EBSCO,Regular Searches,NA,0,0,NA,NA
World Book,EBSCO,Result Clicks,NA,0,0,NA,NA
World Book,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
World History in Video,Alexander Street Press,Record Views,0,118,77,122,NA
World History in Video,Alexander Street Press,Regular Searches,0,187,75,154,NA
World History in Video,Alexander Street Press,Result Clicks,0,50,16,9,NA
World History in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
